[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 38]successful login 
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None
[ERROR][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 27]finding element by selector1=['xpath', '/html/body/div/div/div[2]/section/section/section/main/div/div/div[1]/div/div[1]/div[1]/span[2]/button'] ,selector2=None failed
