[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 44]successful login 
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\mainPage.py][line 31]the current page is 系统管理 
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\mainPage.py][line 31]the current page is 组织管理 
[Debug][common][D:\workspace\JCWAutoTest\testJCW\action\system\organize\organizeMainPage.py][line 90]dialog title is 添加组织架构
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\organize\organizeMainPage.py][line 96]open dailog of 添加组织架构 success
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\organize\organizeMainPage.py][line 82]set name:湖北省纪律检查委员会 success
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None
[ERROR][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 27]finding element by selector1=['xpath', '/html/body/div[4]/ul'] ,selector2=None failed
